rank	score	path	code	nat	nbnd	ecutwfc	ecutrho	kpoints_type	kx	ky	kz	kpoints_est	gamma_only	calculation	occupations	pseudo_ok	parallel_expectation
328	61.75	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pioud_diamond/diamond_pimd.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
329	61.75	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pioud_diamond/diamond_verlet.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
330	61.75	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pioud_diamond/diamond_ceriotti.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
331	61.75	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pioud_diamond/diamond_pimd.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
332	61.75	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pioud_diamond/diamond_verlet.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
333	61.75	/opt/sg/src/q-e_qe-7.5/test-suite/pioud_diamond/diamond_ceriotti.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
334	61.75	/opt/sg/src/q-e_qe-7.5/test-suite/pioud_diamond/diamond_pimd.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
335	61.75	/opt/sg/src/q-e_qe-7.5/test-suite/pioud_diamond/diamond_verlet.in	pioud	2	15	25.0	120.0	automatic	4	4	4	64	no		smearing	unknown	k-point rich; -nk 4 likely effective
336	61.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_trev/nscf_epw.in	epw	2	4	60.0		crystal				27	no	nscf	smearing	no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
337	61.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_trev/scf_epw.in	epw	2	4	60.0		automatic	3	3	3	27	no	scf	smearing	no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
338	61.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_trev/nscf_epw.in	epw	2	4	60.0		crystal				27	no	nscf	smearing	no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
339	61.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_trev/scf_epw.in	epw	2	4	60.0		automatic	3	3	3	27	no	scf	smearing	no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
340	61.17	/opt/sg/src/q-e_qe-7.5/test-suite/epw_trev/nscf_epw.in	epw	2	4	60.0		crystal				27	no	nscf	smearing	no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
341	61.17	/opt/sg/src/q-e_qe-7.5/test-suite/epw_trev/scf_epw.in	epw	2	4	60.0		automatic	3	3	3	27	no	scf	smearing	no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
342	60.55	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_metaGGA/metaGGA-2.in	pw	10	11	30.0		tpiba				6	no	bands		unknown	k-point rich; -nk 4 likely effective
343	60.55	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_metaGGA/metaGGA-2.in	pw	10	11	30.0		tpiba				6	no	bands		unknown	k-point rich; -nk 4 likely effective
344	60.55	/opt/sg/src/q-e_qe-7.5/test-suite/pw_metaGGA/metaGGA-2.in	pw	10	11	30.0		tpiba				6	no	bands		unknown	k-point rich; -nk 4 likely effective
345	60.04	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_super/nscf_epw.in	epw	3		40.0		crystal				27	no	nscf	smearing	no(Mg.pz-n-vbc.UPF)	k-point rich; -nk 4 likely effective
346	60.04	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_super/scf_epw.in	epw	3		40.0		automatic	3	3	3	27	no	scf	smearing	no(Mg.pz-n-vbc.UPF)	k-point rich; -nk 4 likely effective
347	60.04	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_super/nscf_epw.in	epw	3		40.0		crystal				27	no	nscf	smearing	no(Mg.pz-n-vbc.UPF)	k-point rich; -nk 4 likely effective
348	60.04	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_super/scf_epw.in	epw	3		40.0		automatic	3	3	3	27	no	scf	smearing	no(Mg.pz-n-vbc.UPF)	k-point rich; -nk 4 likely effective
349	60.04	/opt/sg/src/q-e_qe-7.5/test-suite/epw_super/nscf_epw.in	epw	3		40.0		crystal				27	no	nscf	smearing	no(Mg.pz-n-vbc.UPF)	k-point rich; -nk 4 likely effective
350	60.04	/opt/sg/src/q-e_qe-7.5/test-suite/epw_super/scf_epw.in	epw	3		40.0		automatic	3	3	3	27	no	scf	smearing	no(Mg.pz-n-vbc.UPF)	k-point rich; -nk 4 likely effective
351	59.6	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_scf/scf-ncpp.in	pw	2		12.0		explicit				2	no	scf		yes	some k-point parallelism; -nk 2/4 may help
352	59.6	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_scf/scf-ncpp.in	pw	2		12.0		explicit				2	no	scf		yes	some k-point parallelism; -nk 2/4 may help
353	59.6	/opt/sg/src/q-e_qe-7.5/test-suite/pw_scf/scf-ncpp.in	pw	2		12.0		explicit				2	no	scf		yes	some k-point parallelism; -nk 2/4 may help
354	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U+V-user_ns.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
355	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U-noU.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
356	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U-user_ns.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
357	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
358	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U_force.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
359	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U_force_stress_ortho.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
360	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U_gamma.in	pw	4	20	30.0	240.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
361	59.17	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U_kind1_collin.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
362	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U+V-user_ns.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
363	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U-noU.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
364	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U-user_ns.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
365	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
366	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U_force.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
367	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U_force_stress_ortho.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
368	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U_gamma.in	pw	4	20	30.0	240.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
369	59.17	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U_kind1_collin.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
370	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U+V-user_ns.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
371	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U-noU.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
372	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U-user_ns.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
373	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
374	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U_force.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
375	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U_force_stress_ortho.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
376	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U_gamma.in	pw	4	20	30.0	240.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
377	59.17	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U_kind1_collin.in	pw	4	20	30.0	240.0	{automatic}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
378	58.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_lda+U/lda+U_pseudo.in	pw	4		30.0	250.0	{automatic}					unknown	scf	smearing	yes	k-point parallelism uncertain; test -nk 1 first
379	58.5	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_lda+U/lda+U_pseudo.in	pw	4		30.0	250.0	{automatic}					unknown	scf	smearing	yes	k-point parallelism uncertain; test -nk 1 first
380	58.5	/opt/sg/src/q-e_qe-7.5/test-suite/pw_lda+U/lda+U_pseudo.in	pw	4		30.0	250.0	{automatic}					unknown	scf	smearing	yes	k-point parallelism uncertain; test -nk 1 first
381	58.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_dipole/dipole.in	pw	5		30.0		{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
382	58.5	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_dipole/dipole.in	pw	5		30.0		{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
383	58.5	/opt/sg/src/q-e_qe-7.5/test-suite/pw_dipole/dipole.in	pw	5		30.0		{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
384	58.38	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_2D/nscf_epw.in	epw	3	34	25.0		crystal				16	no	nscf		yes	k-point rich; -nk 4 likely effective
385	58.38	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_2D/nscf_epw.in	epw	3	34	25.0		crystal				16	no	nscf		yes	k-point rich; -nk 4 likely effective
386	58.38	/opt/sg/src/q-e_qe-7.5/test-suite/epw_2D/nscf_epw.in	epw	3	34	25.0		crystal				16	no	nscf		yes	k-point rich; -nk 4 likely effective
387	58.0	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_plrn/nscf.in	epw	2	30	60.0		crystal				64	no	nscf	fixed	no(Li.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
388	58.0	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_plrn/nscf.in	epw	2	30	60.0		crystal				64	no	nscf	fixed	no(Li.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
389	58.0	/opt/sg/src/q-e_qe-7.5/test-suite/epw_plrn/nscf.in	epw	2	30	60.0		crystal				64	no	nscf	fixed	no(Li.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
390	57.9	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_vdw/rVV10.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
391	57.9	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_vdw/vdw-d2.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
392	57.9	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_vdw/vdw-d3.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
393	57.9	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/pw_vdw/xdm.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
394	57.9	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_vdw/rVV10.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
395	57.9	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_vdw/vdw-d2.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
396	57.9	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_vdw/vdw-d3.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
397	57.9	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/pw_vdw/xdm.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
398	57.9	/opt/sg/src/q-e_qe-7.5/test-suite/pw_vdw/rVV10.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
399	57.9	/opt/sg/src/q-e_qe-7.5/test-suite/pw_vdw/vdw-d2.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
400	57.9	/opt/sg/src/q-e_qe-7.5/test-suite/pw_vdw/vdw-d3.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
401	57.9	/opt/sg/src/q-e_qe-7.5/test-suite/pw_vdw/xdm.in	pw	4		18.0	200.0	{gamma}					unknown	scf	smearing	unknown	k-point parallelism uncertain; test -nk 1 first
402	57.88	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/ph_ahc_diam/diam.nscf.in	ph	2	9	20.0		crystal				5	no	nscf	fixed	unknown	k-point rich; -nk 4 likely effective
403	57.88	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/ph_ahc_diam/diam.nscf.nosym.in	ph	2	9	20.0		crystal				5	no	nscf	fixed	unknown	k-point rich; -nk 4 likely effective
404	57.88	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/ph_ahc_diam/diam.nscf.in	ph	2	9	20.0		crystal				5	no	nscf	fixed	unknown	k-point rich; -nk 4 likely effective
405	57.88	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/ph_ahc_diam/diam.nscf.nosym.in	ph	2	9	20.0		crystal				5	no	nscf	fixed	unknown	k-point rich; -nk 4 likely effective
406	57.88	/opt/sg/src/q-e_qe-7.5/test-suite/ph_ahc_diam/diam.nscf.in	ph	2	9	20.0		crystal				5	no	nscf	fixed	unknown	k-point rich; -nk 4 likely effective
407	57.88	/opt/sg/src/q-e_qe-7.5/test-suite/ph_ahc_diam/diam.nscf.nosym.in	ph	2	9	20.0		crystal				5	no	nscf	fixed	unknown	k-point rich; -nk 4 likely effective
408	57.25	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_2D/scf_epw.in	epw	3		25.0		automatic	4	4	1	16	no	scf		yes	k-point rich; -nk 4 likely effective
409	57.25	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_2D/scf_epw.in	epw	3		25.0		automatic	4	4	1	16	no	scf		yes	k-point rich; -nk 4 likely effective
410	57.25	/opt/sg/src/q-e_qe-7.5/test-suite/epw_2D/scf_epw.in	epw	3		25.0		automatic	4	4	1	16	no	scf		yes	k-point rich; -nk 4 likely effective
411	57.11	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/hp_soc_U_us_magn/bn.scf.in	hp	2		35.0	350.0	automatic	3	3	1	9	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
412	57.11	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/hp_soc_U_us_magn/bn.scf.in	hp	2		35.0	350.0	automatic	3	3	1	9	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
413	57.11	/opt/sg/src/q-e_qe-7.5/test-suite/hp_soc_U_us_magn/bn.scf.in	hp	2		35.0	350.0	automatic	3	3	1	9	no	scf	smearing	unknown	k-point rich; -nk 4 likely effective
414	57.0	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_plrn/scf.in	epw	2		60.0		automatic	4	4	4	64	no	scf	fixed	no(Li.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
415	57.0	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_plrn/scf.in	epw	2		60.0		automatic	4	4	4	64	no	scf	fixed	no(Li.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
416	57.0	/opt/sg/src/q-e_qe-7.5/test-suite/epw_plrn/scf.in	epw	2		60.0		automatic	4	4	4	64	no	scf	fixed	no(Li.pbe-mt_fhi.UPF)	k-point rich; -nk 4 likely effective
417	56.27	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_pl/scf_epw.in	epw	2	8	40.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
418	56.27	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_pl/scf_epw.in	epw	2	8	40.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
419	56.27	/opt/sg/src/q-e_qe-7.5/test-suite/epw_pl/scf_epw.in	epw	2	8	40.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
420	56.27	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_pl/nscf_epw.in	epw	2	8	40.0		crystal				64	no	nscf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
421	56.27	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_pl/nscf_epw.in	epw	2	8	40.0		crystal				64	no	nscf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
422	56.27	/opt/sg/src/q-e_qe-7.5/test-suite/epw_pl/nscf_epw.in	epw	2	8	40.0		crystal				64	no	nscf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
423	56.0	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_pl/scf.in	epw	2		40.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
424	56.0	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_pl/scf.in	epw	2		40.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
425	56.0	/opt/sg/src/q-e_qe-7.5/test-suite/epw_pl/scf.in	epw	2		40.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
426	55.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_trev_paw/scf.in	epw	2		30.0		automatic	4	4	4	64	no	scf		no(Si.pbe-nl-kjpaw_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
427	55.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_trev_uspp/scf.in	epw	2		30.0		automatic	4	4	4	64	no	scf		no(Si.pbe-nl-rrkjus_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
428	55.5	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_trev_paw/scf.in	epw	2		30.0		automatic	4	4	4	64	no	scf		no(Si.pbe-nl-kjpaw_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
429	55.5	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_trev_uspp/scf.in	epw	2		30.0		automatic	4	4	4	64	no	scf		no(Si.pbe-nl-rrkjus_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
430	55.5	/opt/sg/src/q-e_qe-7.5/test-suite/epw_trev_paw/scf.in	epw	2		30.0		automatic	4	4	4	64	no	scf		no(Si.pbe-nl-kjpaw_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
431	55.5	/opt/sg/src/q-e_qe-7.5/test-suite/epw_trev_uspp/scf.in	epw	2		30.0		automatic	4	4	4	64	no	scf		no(Si.pbe-nl-rrkjus_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
432	55.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/PW/examples/gatefield/reference/single_+0.10.bands.in	pw	3		50.0	410.0	crystal_b				4	no	bands	smearing	no(Mo.pz-spn-rrkjus_psl.0.2.UPF)	k-point rich; -nk 4 likely effective
433	55.5	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/PW/examples/gatefield/reference/single_+0.10_nobarrier.bands.in	pw	3		50.0	410.0	crystal_b				4	no	bands	smearing	no(Mo.pz-spn-rrkjus_psl.0.2.UPF)	k-point rich; -nk 4 likely effective
434	55.48	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/ph_base/si.scf.in	ph	2		18.0		explicit				10	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
435	55.48	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/ph_base/si.scf.in	ph	2		18.0		explicit				10	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
436	55.48	/opt/sg/src/q-e_qe-7.5/test-suite/ph_base/si.scf.in	ph	2		18.0		explicit				10	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
437	55.13	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_polar/scf.in	epw	2	4	20.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
438	55.13	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_polar/scf.in	epw	2	4	20.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
439	55.13	/opt/sg/src/q-e_qe-7.5/test-suite/epw_polar/scf.in	epw	2	4	20.0		automatic	6	6	6	216	no	scf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
440	53.67	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_trev_paw/nscf.in	epw	2	4	30.0		crystal				27	no	nscf		no(Si.pbe-nl-kjpaw_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
441	53.67	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_trev_uspp/nscf.in	epw	2	4	30.0		crystal				27	no	nscf		no(Si.pbe-nl-rrkjus_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
442	53.67	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_trev_paw/nscf.in	epw	2	4	30.0		crystal				27	no	nscf		no(Si.pbe-nl-kjpaw_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
443	53.67	/home/dl/.cache/sg/qe-gpu-src/build/q-e-qe-7.5-nvhpc-cc80/test-suite/epw_trev_uspp/nscf.in	epw	2	4	30.0		crystal				27	no	nscf		no(Si.pbe-nl-rrkjus_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
444	53.67	/opt/sg/src/q-e_qe-7.5/test-suite/epw_trev_paw/nscf.in	epw	2	4	30.0		crystal				27	no	nscf		no(Si.pbe-nl-kjpaw_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
445	53.67	/opt/sg/src/q-e_qe-7.5/test-suite/epw_trev_uspp/nscf.in	epw	2	4	30.0		crystal				27	no	nscf		no(Si.pbe-nl-rrkjus_psl.1.0.0.UPF)	k-point rich; -nk 4 likely effective
446	53.31	/home/dl/.cache/sg/qe-gpu-src-u/qe-src/test-suite/epw_polar/nscf_epw.in	epw	2	8	20.0		crystal				27	no	nscf		no(Si.pz-vbc.UPF)	k-point rich; -nk 4 likely effective
